title,location,time_of_work,type_of_agreement,salary,article_url
"Kierownik Restauracji, Pizza Dominium Warszawa","Warszawa, Żoliborz",Pełny etat,Umowa o pracę,/godz.  brutto od 4 000 zł,https://www.olx.pl/oferta/kierownik-restauracji-pizza-dominium-warszawa-CID4-IDBJ6Z7.html#47c989f65b
Kierownik Zmiany - Pizza Dominium Ursynów/Mokotów/Ochota,"Warszawa, Ursynów",,Umowa o pracę, do 6 000 zł/mies.  brutto,https://www.olx.pl/oferta/kierownik-zmiany-pizza-dominium-ursynow-mokotow-ochota-CID4-IDCLAQt.html#47c989f65b
Zatrudnię pizzera.,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, od 4 000 zł do 5 000 zł,https://www.olx.pl/oferta/zatrudnie-pizzera-CID4-IDCHnCy.html#47c989f65b
Praca w restauracji Sushi,"Warszawa, Śródmieście",,Umowa o pracę,/mies.  brutto od 7 000 zł,https://www.olx.pl/oferta/praca-w-restauracji-sushi-CID4-IDxP5MK.html#47c989f65b
Barman / Barbeck - wydawka w Restauracji,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, do 10 000 zł/mies.  brutto,https://www.olx.pl/oferta/barman-barbeck-wydawka-w-restauracji-CID4-IDAPs5q.html#47c989f65b
Gastronomia,"Warszawa, Wesoła",,Umowa o pracę,15 zł/godz. brutto od,https://www.olx.pl/oferta/gastronomia-CID4-IDCMhYY.html#47c989f65b
Kucharz Sushi w Niemczech,"Warszawa, Wola",Pełny etat,Umowa o pracę, 2 600 zł do 2 900 zł/mies.,https://www.olx.pl/oferta/kucharz-sushi-w-niemczech-CID4-IDBrulK.html#47c989f65b
Pomoc kucharza - produkcja pierogów,"Warszawa, Śródmieście",,Umowa o pracę,  brutto15 zł/godz. brutto,https://www.olx.pl/oferta/pomoc-kucharza-produkcja-pierogow-CID4-IDCMcId.html#47c989f65b
Pracownik obsługi gości ( bary sałatkowe),"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, od 2 600 zł do 3 200 zł,https://www.olx.pl/oferta/pracownik-obslugi-gosci-bary-salatkowe-CID4-IDCMbhb.html#47c989f65b
kelner/kelnerka,"Warszawa, Bemowo",,Umowa o pracę,/mies.  brutto od 16 zł,https://www.olx.pl/oferta/kelner-kelnerka-CID4-IDCMa3N.html#47c989f65b
Catering Pure&Fresh zatrudni Pomoc Kuchenną /Zmywak,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/catering-pure-fresh-zatrudni-pomoc-kuchenna-zmywak-CID4-IDzWifg.html#47c989f65b
Kierownik Cukiernia Sowa,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/kierownik-cukiernia-sowa-CID4-IDCM1rY.html#47c989f65b
Manager Zmianowy,"Warszawa, Śródmieście",Niepełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/manager-zmianowy-CID4-IDCFWQK.html#47c989f65b
Pracownik do małego lokalu z burgerami Ursus Skorosze,"Warszawa, Praga-Południe",,Umowa o pracę,None,https://www.olx.pl/oferta/pracownik-do-malego-lokalu-z-burgerami-ursus-skorosze-CID4-IDCLZ2q.html#47c989f65b
Zatrudnię pół etatu na garmażerk,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnie-pol-etatu-na-garmazerk-CID4-IDCLUPw.html#47c989f65b
Kucharz/ kelner,"Warszawa, Wola",,Umowa o pracę,None,https://www.olx.pl/oferta/kucharz-kelner-CID4-IDAnl0q.html#47c989f65b
Mcdonald's Wiatraczna PracowniK restauracji 3000 BRUTTO!,"Warszawa, Ochota",,Umowa o pracę,5 000 zł/mies. brutto od,https://www.olx.pl/oferta/mcdonalds-wiatraczna-pracownik-restauracji-3000-brutto-CID4-IDxkc3Z.html#0a7d12c6bb;promoted
"Praca w weekendy-kasjer NOWE STAWKI 18,50zł/h McDonald's17-go Stycznia","Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 3 000 zł do 3 100 zł/mies.,https://www.olx.pl/oferta/praca-w-weekendy-kasjer-nowe-stawki-18-50zl-h-mcdonalds17-go-stycznia-CID4-IDvr334.html#0a7d12c6bb;promoted
Zatrudnię samodzielnego kucharz do kantyny pracowniczej W-wa Mokotów,"Warszawa, Praga-Południe",,Umowa o pracę,  brutto od 1 500 zł do,https://www.olx.pl/oferta/zatrudnie-samodzielnego-kucharz-do-kantyny-pracowniczej-w-wa-mokotow-CID4-IDwow7F.html#0a7d12c6bb;promoted
Praca na zmywaku - Ursynów,"Warszawa, Włochy",Pełny etat,Umowa o pracę, 1 600 zł/mies.  brutto od,https://www.olx.pl/oferta/praca-na-zmywaku-ursynow-CID4-IDCLpdi.html#0a7d12c6bb
Hydraulik / Niemcy / 10 € Netto ! / Umowa o pracę / PRACA OD ZARAZ !,"Warszawa, Mokotów",,Umowa o pracę, 13 zł do 14 zł/mies.,https://www.olx.pl/oferta/hydraulik-niemcy-10-netto-umowa-o-prace-praca-od-zaraz-CID4-IDCLf6V.html#0a7d12c6bb
Pomoc kuchenna w szkole,"Warszawa, Ursynów",Pełny etat,Umowa o pracę,  brutto od 3 300 zł do,https://www.olx.pl/oferta/pomoc-kuchenna-w-szkole-CID4-IDCLdWG.html#0a7d12c6bb
kasjerka / ekspedientka - PRACA OD ZARAZ,"Warszawa, Śródmieście",,Umowa o pracę, 3 800 zł/mies.  brutto od,https://www.olx.pl/oferta/kasjerka-ekspedientka-praca-od-zaraz-CID4-IDAw5p7.html#0a7d12c6bb
Zmywak/Obierak,"Warszawa, Ochota",Niepełny etat,Umowa o pracę, 3 200 zł do 3 700 zł/mies.,https://www.olx.pl/oferta/zmywak-obierak-CID4-IDCgdNK.html#0a7d12c6bb
"Kelner, Kelnerka / Barman, Barmanka - Warszawa Falenica","Warszawa, Mokotów",,Umowa o pracę,  brutto od 2 600 zł do,https://www.olx.pl/oferta/kelner-kelnerka-barman-barmanka-warszawa-falenica-CID4-IDCErgp.html#0a7d12c6bb
Wózkowy na kuchni szpitalnej- Warszawa,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, 3 000 zł/mies.  brutto od,https://www.olx.pl/oferta/wozkowy-na-kuchni-szpitalnej-warszawa-CID4-IDCEk92.html#0a7d12c6bb
Pomoc kuchenna- Warszawa,"Warszawa, Wawer",,Umowa o pracę, 3 500 zł do 4 000 zł/mies.,https://www.olx.pl/oferta/pomoc-kuchenna-warszawa-CID4-IDCEjDC.html#0a7d12c6bb
Koordynator dostaw kateringu lotniczego,"Warszawa, Ochota",Dodatkowa / sezonowa,Umowa o pracę,  brutto od 16 zł do,https://www.olx.pl/oferta/koordynator-dostaw-kateringu-lotniczego-CID4-IDyXBmS.html#0a7d12c6bb
Pracownik Koreańska restauracja,"Warszawa, Ochota",,Umowa o pracę, 18 zł/godz.  brutto od,https://www.olx.pl/oferta/pracownik-koreanska-restauracja-CID4-IDCKdPC.html#0a7d12c6bb
Gastronomia,"Warszawa, Ochota",Pełny etat,Umowa o pracę, 3 270 zł do 3 500 zł/mies.,https://www.olx.pl/oferta/gastronomia-CID4-IDCKcir.html#0a7d12c6bb
Otwarta i pozytywna osoba poszukiwana !,"Warszawa, Wola",,Umowa o pracę,  brutto od 19 zł do,https://www.olx.pl/oferta/otwarta-i-pozytywna-osoba-poszukiwana-CID4-IDCImIH.html#0a7d12c6bb
Cukiernik/Pomoc cukiernika/Dekorator,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 22 zł/godz.  brutto od,https://www.olx.pl/oferta/cukiernik-pomoc-cukiernika-dekorator-CID4-IDxhrXP.html#0a7d12c6bb
Pracownik restauracji McDonald's MODLIŃSKA. Dołącz do zespołu!,"Warszawa, Mokotów",,Umowa o pracę, 4 000 zł do 5 500 zł/mies.,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-modlinska-dolacz-do-zespolu-CID4-ID5VPHW.html#0a7d12c6bb;promoted
WEEKENDY!!! Dołącz do McDonald's Modlińska i pogódź naukę z pracą,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,  brutto od 15 zł do,https://www.olx.pl/oferta/weekendy-dolacz-do-mcdonalds-modlinska-i-pogodz-nauke-z-praca-CID4-IDsZoeR.html#0a7d12c6bb;promoted
Kucharz sushi,"Warszawa, Białołęka",,Umowa o pracę, 20 zł/godz.  brutto od,https://www.olx.pl/oferta/kucharz-sushi-CID4-IDzZnjJ.html#0a7d12c6bb
Piekarz / Czeladnik - Piekarnia Aromat,"Warszawa, Białołęka",Pełny etat,Umowa o pracę, 2 800 zł do 3 500 zł/mies.,https://www.olx.pl/oferta/piekarz-czeladnik-piekarnia-aromat-CID4-IDCm6GI.html#0a7d12c6bb
zatrudnimy pomoc kuchni/kucharza,"Warszawa, Ursynów",,Umowa o pracę,  brutto od 7 000 zł do,https://www.olx.pl/oferta/zatrudnimy-pomoc-kuchni-kucharza-CID4-IDCCkgf.html#0a7d12c6bb
kucharz w 5* hotelu u szefa Darka Barańskiego,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 8 000 zł/mies.  brutto od,https://www.olx.pl/oferta/kucharz-w-5-hotelu-u-szefa-darka-baranskiego-CID4-IDCJJzX.html#0a7d12c6bb
Restauracja Stary Dom zatrudni kucharzy i pomocników do przyuczenia,"Warszawa, Mokotów",,Umowa o pracę, 18 zł do 24 zł/godz.,https://www.olx.pl/oferta/restauracja-stary-dom-zatrudni-kucharzy-i-pomocnikow-do-przyuczenia-CID4-IDzCyIx.html#0a7d12c6bb
Zatrudnimy Kierownika Zmianowego do włoskiej restauracji w Śródmieściu,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,  brutto od 18 zł do,https://www.olx.pl/oferta/zatrudnimy-kierownika-zmianowego-do-wloskiej-restauracji-w-srodmiesciu-CID4-IDCJEZ7.html#0a7d12c6bb
Kierownik Zmiany - cukiernia A.Blikle - KEN,"Warszawa, Mokotów",,Umowa o pracę, 22 zł/mies.  brutto2 900 zł,https://www.olx.pl/oferta/kierownik-zmiany-cukiernia-a-blikle-ken-CID4-IDCJDs0.html#0a7d12c6bb
"kelner,kelnerka do sushi baru","Warszawa, Śródmieście",Pełny etat,Umowa o pracę,/mies. brutto od 4 500 zł,https://www.olx.pl/oferta/kelner-kelnerka-do-sushi-baru-CID4-IDCySAn.html#0a7d12c6bb
"15-18 zł netto, Pizzer na pełen etat, Warszawa Centrum i okolice","Warszawa, Ursynów",,Umowa o pracę, do 5 500 zł/mies.  brutto,https://www.olx.pl/oferta/15-18-zl-netto-pizzer-na-pelen-etat-warszawa-centrum-i-okolice-CID4-IDz0aCQ.html#0a7d12c6bb
Kucharz - pizzer,"Warszawa, Wawer",Pełny etat,Umowa o pracę, od 4 000 zł do 9 000 zł,https://www.olx.pl/oferta/kucharz-pizzer-CID4-IDCJcad.html#0a7d12c6bb
Samodzielny kucharz,"Warszawa, Śródmieście",,Umowa o pracę,/mies.  brutto13 zł/godz.,https://www.olx.pl/oferta/samodzielny-kucharz-CID4-IDCCFix.html#0a7d12c6bb
Osoba do sprzedaży frytek i kurczaków,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/osoba-do-sprzedazy-frytek-i-kurczakow-CID4-IDx0Yvx.html#0a7d12c6bb
Książeczka sanepid badania 3 lata,"Warszawa, Praga-Południe",,Umowa o pracę,None,https://www.olx.pl/oferta/ksiazeczka-sanepid-badania-3-lata-CID4-IDCIKwh.html#0a7d12c6bb
Manager zmianowy w restauracji SAM /Centrum,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/manager-zmianowy-w-restauracji-sam-centrum-CID4-IDCIJwz.html#0a7d12c6bb
Pomoc kuchenna - Restauracja OLIMP - Kantyna/biurowiec - Mokotów,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/pomoc-kuchenna-restauracja-olimp-kantyna-biurowiec-mokotow-CID4-IDBBNlI.html#0a7d12c6bb
Restauracja Concept 13 zatrudni kucharzy,"Warszawa, Żoliborz",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/restauracja-concept-13-zatrudni-kucharzy-CID4-IDAWMNX.html#0a7d12c6bb
Kucharka/Pomoc kuchenna,"Warszawa, Mokotów",,Umowa o pracę,None,https://www.olx.pl/oferta/kucharka-pomoc-kuchenna-CID4-IDxiOSF.html#0a7d12c6bb
Zatrudnimy pracowników na zmywak,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnimy-pracownikow-na-zmywak-CID4-IDCDv5V.html#0a7d12c6bb
Restauracja zatrudni managera,"Warszawa, Żoliborz",,Umowa o pracę,None,https://www.olx.pl/oferta/restauracja-zatrudni-managera-CID4-IDCIA4C.html#0a7d12c6bb
BARMAN / BARMANKA w InterContinental Hotel Warszawa,"Warszawa, Ochota",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/barman-barmanka-w-intercontinental-hotel-warszawa-CID4-IDCIwLe.html#0a7d12c6bb
kucharkę,"Warszawa, Żoliborz",,Umowa o pracę,None,https://www.olx.pl/oferta/kucharke-CID4-IDCIuHO.html#0a7d12c6bb
Kelner,"Warszawa, Śródmieście",Niepełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/kelner-CID4-IDCCtF3.html#0a7d12c6bb
zatrudnię pomoc kuchenną,"Warszawa, Mokotów",,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnie-pomoc-kuchenna-CID4-IDCHyST.html#0a7d12c6bb
kelnerów/kelnerki,"Warszawa, Żoliborz",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/kelnerow-kelnerki-CID4-IDl7ZuO.html#0a7d12c6bb
Kierownik Zmiany KFC w Warszawie,"Warszawa, Białołęka",,Umowa o pracę, od 3 000 zł do 5 000 zł,https://www.olx.pl/oferta/kierownik-zmiany-kfc-w-warszawie-CID4-IDCMZ86.html#fcb6b88aff;promoted
Praca Szuka Ludzi!,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,/mies.  brutto od 3 300 zł,https://www.olx.pl/oferta/praca-szuka-ludzi-CID4-IDCxYza.html#fcb6b88aff;promoted
Pracownik restauracji na weekendy,"Warszawa, Śródmieście",,Umowa o pracę, do 5 000 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-na-weekendy-CID4-IDCAa5C.html#fcb6b88aff
Pracownik Restauracji Zmiana Nocna,"Warszawa, Śródmieście",Niepełny etat,Umowa o pracę, od 4 000 zł do 5 000 zł,https://www.olx.pl/oferta/pracownik-restauracji-zmiana-nocna-CID4-IDCA8mM.html#fcb6b88aff
Pracownik restauracji,"Warszawa, Mokotów",,Umowa o pracę,/mies.  brutto3 000 zł/mies.,https://www.olx.pl/oferta/pracownik-restauracji-CID4-IDCA8oj.html#fcb6b88aff
Kucharz gotujący / wydawkowy poszukiwany !,"Warszawa, Wilanów",Pełny etat,Umowa o pracę, brutto od 17 zł do,https://www.olx.pl/oferta/kucharz-gotujacy-wydawkowy-poszukiwany-CID4-IDCA7t9.html#fcb6b88aff;promoted
Mobilny serwisant rowerowy,"Warszawa, Wilanów",,Umowa o pracę, 20 zł/godz.  brutto od,https://www.olx.pl/oferta/mobilny-serwisant-rowerowy-CID4-IDCG2bY.html#fcb6b88aff
Kierownik Zmiany w restauracji Burger King Warszawa,"Warszawa, Wilanów",Pełny etat,Umowa o pracę, 1 550 zł do 1 600 zł/mies.,https://www.olx.pl/oferta/kierownik-zmiany-w-restauracji-burger-king-warszawa-CID4-IDBL77t.html#fcb6b88aff
WORK&TRAVEL 2.0 | KUCHARZ| luksusowe rejsy po Europie | zarobki CH,"Warszawa, Bielany",,Umowa o pracę,  brutto od 3 000 zł do,https://www.olx.pl/oferta/work-travel-2-0-kucharz-luksusowe-rejsy-po-europie-zarobki-ch-CID4-IDAeOzR.html#fcb6b88aff
Club Mirage zatrudni barmanów/barmanki,"Warszawa, Białołęka",Pełny etat,Umowa o pracę, 4 000 zł/mies.  brutto od,https://www.olx.pl/oferta/club-mirage-zatrudni-barmanow-barmanki-CID4-IDBuFBd.html#fcb6b88aff
Kelnerzy - Praca,"Warszawa, Wilanów",,Umowa o pracę, 18 zł do 20 zł/godz.,https://www.olx.pl/oferta/kelnerzy-praca-CID4-IDCzWQo.html#fcb6b88aff
Zatrudnię pomoc kuchenną,"Warszawa, Śródmieście",Niepełny etat,Umowa o pracę,  brutto od 18 zł do,https://www.olx.pl/oferta/zatrudnie-pomoc-kuchenna-CID4-IDCRxzZ.html#fcb6b88aff
Restauracja Concept 13 zatrudni recepcjonistkę,"Warszawa, Śródmieście",,Umowa o pracę, 20 zł/godz.  brutto od,https://www.olx.pl/oferta/restauracja-concept-13-zatrudni-recepcjonistke-CID4-IDAmzn2.html#fcb6b88aff
Praca Szuka Ludzi!,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 12 zł do 15 zł/godz.,https://www.olx.pl/oferta/praca-szuka-ludzi-CID4-IDCxYza.html#fcb6b88aff;promoted
Pracownik kuchni - Targówek,"Warszawa, Targówek",,Umowa o pracę,  brutto2 400 zł/mies. brutto,https://www.olx.pl/oferta/pracownik-kuchni-targowek-CID4-IDCmgbo.html#fcb6b88aff
Zatrudnię cukiernika oraz osoby do działu cukierniczego,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, od 11 zł do 14 zł,https://www.olx.pl/oferta/zatrudnie-cukiernika-oraz-osoby-do-dzialu-cukierniczego-CID4-IDCRce7.html#fcb6b88aff
"POMOC KUCHENNA/MŁ. KUCHARZ – Tarchomin, Warszawa, system zmianowy","Warszawa, Mokotów",,Umowa o pracę,/godz.  brutto od 2 200 zł,https://www.olx.pl/oferta/pomoc-kuchenna-ml-kucharz-tarchomin-warszawa-system-zmianowy-CID4-IDB74yW.html#fcb6b88aff
"NOWE WYŻSZE STAWKI ! 18,5 zł/h Praca w weekendy w McDonald's","Warszawa, Targówek",Pełny etat,Umowa o pracę, do 3 200 zł/mies.  brutto,https://www.olx.pl/oferta/nowe-wyzsze-stawki-18-5-zl-h-praca-w-weekendy-w-mcdonalds-CID4-IDArRVy.html#fcb6b88aff
Pomocnik kucharza na zimną kuchnię,"Warszawa, Wawer",,Umowa o pracę, od 10 zł do 14 zł,https://www.olx.pl/oferta/pomocnik-kucharza-na-zimna-kuchnie-CID4-IDCPgfD.html#fcb6b88aff
Przygotowywanie dań mącznych/ Przygotowywanie sałatek,"Warszawa, Białołęka",Pełny etat,Umowa o pracę,/godz.  brutto22 zł/mies.,https://www.olx.pl/oferta/przygotowywanie-dan-macznych-przygotowywanie-salatek-CID4-IDCq8lt.html#fcb6b88aff
kucharz,"Warszawa, Ursynów",,Umowa o pracę, brutto od 14 zł do,https://www.olx.pl/oferta/kucharz-CID4-IDCRb8U.html#fcb6b88aff
Pracownik Max Premium Burgers Arkadia,"Warszawa, Ursynów",Pełny etat,Umowa o pracę, 15 zł/godz.  brutto od,https://www.olx.pl/oferta/pracownik-max-premium-burgers-arkadia-CID4-IDCaun6.html#fcb6b88aff
Pracownik Max Premium Burgers Wilanów,"Warszawa, Śródmieście",,Umowa o pracę, 18 zł do 23 zł/godz.,https://www.olx.pl/oferta/pracownik-max-premium-burgers-wilanow-CID4-IDv1Evz.html#fcb6b88aff
Pracownik restauracji - Galeria Mokotów,"Warszawa, Bemowo",Pełny etat,Umowa o pracę,  brutto od 28 zł do,https://www.olx.pl/oferta/pracownik-restauracji-galeria-mokotow-CID4-IDCR8YK.html#fcb6b88aff
Kelner/Kelnerka Indyjska Restauracja,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/kelner-kelnerka-indyjska-restauracja-CID4-IDCQZGu.html#fcb6b88aff
Pracownik do robienia pizzy,"Warszawa, Wilanów",Niepełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/pracownik-do-robienia-pizzy-CID4-IDC94Tk.html#fcb6b88aff
Szpital zatrudni pomoc kuchenną,"Warszawa, Mokotów",,Umowa o pracę,None,https://www.olx.pl/oferta/szpital-zatrudni-pomoc-kuchenna-CID4-IDCQUHn.html#fcb6b88aff
Osoba na zmywak,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/osoba-na-zmywak-CID4-IDCM4La.html#fcb6b88aff;promoted
Zatrudnię Szefa Kuchni,"Warszawa, Bemowo",,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnie-szefa-kuchni-CID4-IDCM3sn.html#fcb6b88aff
Kucharz poszukiwany !OCHOTA,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/kucharz-poszukiwany-ochota-CID4-IDBbNyP.html#fcb6b88aff
Praca BIUROWA Warszawa Białołęka,"Warszawa, Mokotów",,Umowa o pracę,None,https://www.olx.pl/oferta/praca-biurowa-warszawa-bialoleka-CID4-IDBut2F.html#fcb6b88aff
Osoba na ZMYWAK,"Warszawa, Bemowo",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/osoba-na-zmywak-CID4-IDChXsX.html#fcb6b88aff
Pomoc kuchenna do niepublicznego przedszkola na Bielanach,"Warszawa, Ochota",,Umowa o pracę,None,https://www.olx.pl/oferta/pomoc-kuchenna-do-niepublicznego-przedszkola-na-bielanach-CID4-IDzvCA2.html#fcb6b88aff
Zatrudnię szefa kuchni kuchni Polskiej,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnie-szefa-kuchni-kuchni-polskiej-CID4-IDCQFMg.html#fcb6b88aff
Kawiarnia - piekarnia centrum/ochota,"Warszawa, Mokotów",,Umowa o pracę,None,https://www.olx.pl/oferta/kawiarnia-piekarnia-centrum-ochota-CID4-IDCBOyJ.html#fcb6b88aff
Sprzedawca ! Sushibar handroll,"Warszawa, Bielany",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/sprzedawca-sushibar-handroll-CID4-IDyqvpL.html#fcb6b88aff
Zatrudnimt Kelnera,"Warszawa, Włochy",,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnimt-kelnera-CID4-IDCQzvI.html#fcb6b88aff
Pizzera,"Warszawa, Ochota",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/pizzera-CID4-IDAkIue.html#fcb6b88aff
Praca dla kucharza / szefa kuchni Kantyna Mokotów,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/praca-dla-kucharza-szefa-kuchni-kantyna-mokotow-CID4-IDCyzqo.html#fcb6b88aff
Magazynier,"Warszawa, Żoliborz",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/magazynier-CID4-IDCqpNJ.html#fcb6b88aff
Elektryk,"Warszawa, Rembertów",,Umowa o pracę,None,https://www.olx.pl/oferta/elektryk-CID4-IDC7yzt.html#fcb6b88aff
Pracownik Restauracji McDonald's Centrum,"Warszawa, Bemowo",,Umowa o pracę, od 2 900 zł do 3 007 zł,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-centrum-CID4-IDCHHjS.html#f3271036db;promoted
Kelnerka,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,/mies.  brutto od 3 000 zł,https://www.olx.pl/oferta/kelnerka-CID4-IDCAsvl.html#f3271036db;promoted
Praca w pierogarni,"Warszawa, Praga-Północ",,Umowa o pracę, do 5 000 zł/mies.  brutto,https://www.olx.pl/oferta/praca-w-pierogarni-CID4-IDCQieX.html#f3271036db
Pracownik cateringu,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, od 15 zł do 17 zł,https://www.olx.pl/oferta/pracownik-cateringu-CID4-IDCylKJ.html#f3271036db
Osobę na zmywak do lunchbaru na Ochocie,"Warszawa, Ursus",,Umowa o pracę,/godz.  brutto3 200 zł/mies.,https://www.olx.pl/oferta/osobe-na-zmywak-do-lunchbaru-na-ochocie-CID4-IDyULyS.html#f3271036db
Kucharz cateringowy,"Warszawa, Targówek",Pełny etat,Umowa o pracę, brutto od 3 500 zł do,https://www.olx.pl/oferta/kucharz-cateringowy-CID4-IDCyisJ.html#f3271036db
Zatrudnię barmanów,"Warszawa, Śródmieście",,Umowa o pracę, 4 000 zł/mies.  brutto od,https://www.olx.pl/oferta/zatrudnie-barmanow-CID4-IDBRiqD.html#f3271036db
Kucharza oraz pomocnika kucharza,"Warszawa, Wola",Pełny etat,Umowa o pracę, 3 500 zł do 4 000 zł/mies.,https://www.olx.pl/oferta/kucharza-oraz-pomocnika-kucharza-CID4-IDBDfHN.html#f3271036db
Barman w 5* hotelu,"Warszawa, Ochota",,Umowa o pracę,  brutto od 4 000 zł do,https://www.olx.pl/oferta/barman-w-5-hotelu-CID4-IDCQ1WY.html#f3271036db
Pracownik McDonald's CH.Promnada -zmiana nocna lub weekedny,"Warszawa, Wola",Pełny etat,Umowa o pracę, 4 500 zł/mies.  brutto3 200 zł,https://www.olx.pl/oferta/pracownik-mcdonalds-ch-promnada-zmiana-nocna-lub-weekedny-CID4-IDCQ17i.html#f3271036db
Kelner/Kelnerka,"Warszawa, Śródmieście",,Umowa o pracę,/mies. brutto od 3 300 zł,https://www.olx.pl/oferta/kelner-kelnerka-CID4-IDCy3Iz.html#f3271036db
Barista,"Warszawa, Wola",Pełny etat,Umowa o pracę, do 3 500 zł/mies.  brutto,https://www.olx.pl/oferta/barista-CID4-IDCxYlu.html#f3271036db
zatrudnimy pania zmywajaca,"Warszawa, Śródmieście",,Umowa o pracę, od 17 zł do 18 zł,https://www.olx.pl/oferta/zatrudnimy-pania-zmywajaca-CID4-IDCjR3b.html#f3271036db
Kucharz,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,/godz.  brutto od 4 000 zł,https://www.olx.pl/oferta/kucharz-CID4-IDCPPKt.html#f3271036db
Kucharz produkcyjny/wydawkowy,"Warszawa, Ursus",,Umowa o pracę, do 5 000 zł/mies.  brutto,https://www.olx.pl/oferta/kucharz-produkcyjny-wydawkowy-CID4-IDBiwwS.html#f3271036db
Kucharz Kuchnia Ciepła,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,6 000 zł/mies. brutto3 000 zł,https://www.olx.pl/oferta/kucharz-kuchnia-ciepla-CID4-IDCPMVg.html#f3271036db
Kameralne przedszkole w Wilanowie zatrudni osobę do pracy w kuchni,"Warszawa, Ochota",,Umowa o pracę,/mies. brutto od 13 zł,https://www.olx.pl/oferta/kameralne-przedszkole-w-wilanowie-zatrudni-osobe-do-pracy-w-kuchni-CID4-IDysX2m.html#f3271036db
Kontroler jakości finalnego produktu - catering,"Warszawa, Ochota",Pełny etat,Umowa o pracę, do 15 zł/mies.  brutto,https://www.olx.pl/oferta/kontroler-jakosci-finalnego-produktu-catering-CID4-IDCKS0b.html#f3271036db
Manager lokalu gastronomicznego,"Warszawa, Śródmieście",,Umowa o pracę, od 4 000 zł do 5 000 zł,https://www.olx.pl/oferta/manager-lokalu-gastronomicznego-CID4-IDCPzB9.html#f3271036db
Kierownik zmiany-kelner PORT ROYAL,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,/mies.  brutto od 14 zł,https://www.olx.pl/oferta/kierownik-zmiany-kelner-port-royal-CID4-IDCDLXL.html#f3271036db
Kucharz Zmianowy,"Warszawa, Wilanów",,Umowa o pracę, do 16 zł/godz.  brutto,https://www.olx.pl/oferta/kucharz-zmianowy-CID4-IDCPovl.html#f3271036db
Restauracja w Śródmieściu zatrudni Panią do zmywania,"Warszawa, Włochy",Pełny etat,Umowa o pracę,15 zł/godz. brutto od,https://www.olx.pl/oferta/restauracja-w-srodmiesciu-zatrudni-pania-do-zmywania-CID4-IDCPkWU.html#f3271036db;promoted
